Name,Type,Type icon,Entity,Entity colour,Description,Capacity,Audience,Address,Postal code,City,Region,Latitude,Longitude,Phone,Email,Website,Manager,Opening hours,Services,Accessibility,Image,Gallery
Linden House,Community centre,people,Civic Network,#1F7A6B,"Drop-in space with workshops, a reading corner and help with online forms.",120 visitors a day,"Families, young people and neighbours",1 Place de la Comédie,69001,Lyon,Auvergne-Rhône-Alpes,45.7676,4.8363,04 65 71 00 11,hello@linden-house.example.org,https://example.org/linden-house,Claire Morel,Mon–Fri 9:00–19:00; Sat 10:00–17:00,Meeting rooms; Language classes; Children's activities; Wi-Fi,Wheelchair access; Hearing loop,community-1.jpg,community-2.jpg; community-3.jpg
Riverside Hub,Community centre,people,Civic Network,#1F7A6B,Meeting rooms and weekly neighbourhood events by the river.,80 visitors a day,"Families, young people and neighbours",5 Place Charles Béraudier,69003,Lyon,Auvergne-Rhône-Alpes,45.7606,4.8594,04 65 71 00 12,hello@riverside-hub.example.org,https://example.org/riverside-hub,"Karim Benali, Sophie Laurent",Mon–Fri 9:00–19:00; Sat 10:00–17:00,Meeting rooms; Language classes; Children's activities; Wi-Fi,Wheelchair access; Hearing loop,community-2.jpg,community-1.jpg; community-3.jpg
Alpine Reading Room,Library,book,Culture Network,#7B4BB7,Lending library with a large children's section and mountain literature.,"35,000 books","All ages, students and researchers",11 Boulevard Jean Pain,38000,Grenoble,Auvergne-Rhône-Alpes,45.1868,5.7355,04 65 71 00 21,hello@alpine-reading-room.example.org,https://example.org/alpine-reading-room,Hélène Garnier,Tue–Sat 10:00–18:00; Wed until 20:00,Book lending; Study rooms; Digital lab; Wi-Fi,Wheelchair access; Large-print books; Hearing loop,library-1.jpg,library-2.jpg; library-3.jpg
Station Workshop,Workshop,tool,Makers Network,#E0782F,Bike repair and woodworking sessions next to the station.,15 workbenches,"Adults and teenagers, beginners welcome",1 Place de la Gare,38000,Grenoble,Auvergne-Rhône-Alpes,45.1914,5.7147,04 65 71 00 31,hello@station-workshop.example.org,https://example.org/station-workshop,Julien Roux,Wed–Sat 14:00–19:00,Repair café; Tool library; Workshops,Wheelchair access,workshop-1.jpg,workshop-2.jpg; workshop-3.jpg
Harbour Library,Library,book,Culture Network,#7B4BB7,"Reference library facing the old port, with a maritime collection.","60,000 books","All ages, students and researchers",Quai du Port,13002,Marseille,Provence-Alpes-Côte d'Azur,43.2966,5.3695,04 65 71 00 22,hello@harbour-library.example.org,https://example.org/harbour-library,Nadia Haddad,Tue–Sat 10:00–18:00; Wed until 20:00,Book lending; Study rooms; Digital lab; Wi-Fi,Wheelchair access; Large-print books; Hearing loop,library-2.jpg,library-1.jpg; library-3.jpg
Saint-Charles Workshop,Workshop,tool,Makers Network,#E0782F,"Sewing and upcycling workshop, open to beginners.",12 sewing machines,"Adults and teenagers, beginners welcome",Square Narvik,13001,Marseille,Provence-Alpes-Côte d'Azur,43.3029,5.3805,04 65 71 00 32,hello@saint-charles-workshop.example.org,https://example.org/saint-charles-workshop,Lucie Fabre,Wed–Sat 14:00–19:00,Repair café; Tool library; Workshops,Wheelchair access,workshop-2.jpg,workshop-1.jpg; workshop-3.jpg
Loire Community Centre,Community centre,people,Civic Network,#1F7A6B,"Family activities, homework help and a Saturday market.",150 families,"Families, young people and neighbours",2 Rue de l'Hôtel de Ville,44000,Nantes,Pays de la Loire,47.2181,-1.5537,02 61 91 00 11,hello@loire-community-centre.example.org,https://example.org/loire-community-centre,Thomas Leroy,Mon–Fri 9:00–19:00; Sat 10:00–17:00,Meeting rooms; Language classes; Children's activities; Wi-Fi,Wheelchair access; Hearing loop,community-3.jpg,community-1.jpg; community-2.jpg
Capitole Library,Library,book,Culture Network,#7B4BB7,"Quiet study rooms, a digital lab and weekly reading clubs.","48,000 books","All ages, students and researchers",Place du Capitole,31000,Toulouse,Occitanie,43.6045,1.4440,05 36 49 00 21,hello@capitole-library.example.org,https://example.org/capitole-library,Inès Martin,Tue–Sat 10:00–18:00; Wed until 20:00,Book lending; Study rooms; Digital lab; Wi-Fi,Wheelchair access; Large-print books; Hearing loop,library-3.jpg,library-1.jpg; library-2.jpg
Canal Workshop,Workshop,tool,Makers Network,#E0782F,Repair café twice a month and a shared tool library.,20 volunteers,"Adults and teenagers, beginners welcome",64 Boulevard Pierre Semard,31500,Toulouse,Occitanie,43.6112,1.4537,05 36 49 00 31,hello@canal-workshop.example.org,https://example.org/canal-workshop,"Hugo Blanc, Emma Petit",Wed–Sat 14:00–19:00,Repair café; Tool library; Workshops,Wheelchair access,workshop-3.jpg,workshop-1.jpg; workshop-2.jpg
Belfry Community Centre,Community centre,people,Civic Network,#1F7A6B,Language exchange evenings and a community kitchen.,90 visitors a day,"Families, young people and neighbours",Place Augustin Laurent,59000,Lille,Hauts-de-France,50.6313,3.0707,03 53 01 00 11,hello@belfry-community-centre.example.org,https://example.org/belfry-community-centre,Paul Dumont,Mon–Fri 9:00–19:00; Sat 10:00–17:00,Meeting rooms; Language classes; Children's activities; Wi-Fi,Wheelchair access; Hearing loop,community-4.jpg,community-1.jpg; community-2.jpg
